workerid,trial_number,filler,prime_type,prime_strength,trial_type,prime_target,within_between,category,p1-correct,p1-response,p2-correct,p2-response,t-correct,t-response,strong_response_bool
35,10,"""false""",six,weak,four,four six,between,"""six_weak_four""",0,"""left""",1,"""right""",0,"""left""",0
35,11,"""true""",four,weak,four,four four,within,"""four_weak_four""",0,"""left""",0,"""left""",0,"""left""",0
35,12,"""true""",some,weak,some,some some,within,"""some_weak_some""",1,"""right""",0,"""left""",0,"""left""",0
35,13,"""false""",some,strong,four,four some,between,"""some_strong_four""",1,"""right""",0,"""left""",1,"""left""",0
35,14,"""false""",some,strong,some,some some,within,"""some_strong_some""",0,"""right""",1,"""left""",1,"""left""",0
35,15,"""false""",four,weak,six,four six,between,"""four_weak_six""",1,"""right""",0,"""left""",0,"""left""",0
35,16,"""false""",some,weak,some,some some,within,"""some_weak_some""",0,"""left""",0,"""left""",0,"""left""",0
35,17,"""false""",six,weak,some,six some,between,"""six_weak_some""",1,"""right""",1,"""right""",0,"""left""",0
35,18,"""false""",some,strong,some,some some,within,"""some_strong_some""",0,"""right""",0,"""left""",1,"""left""",0
35,19,"""false""",six,weak,some,six some,between,"""six_weak_some""",1,"""right""",1,"""right""",0,"""right""",1
35,20,"""false""",four,strong,four,four four,within,"""four_strong_four""",0,"""left""",1,"""right""",1,"""right""",1
35,21,"""false""",six,weak,four,four six,between,"""six_weak_four""",0,"""left""",1,"""right""",0,"""right""",1
35,22,"""false""",some,strong,four,four some,between,"""some_strong_four""",0,"""left""",0,"""left""",1,"""left""",0
35,23,"""false""",six,strong,some,six some,between,"""six_strong_some""",0,"""left""",0,"""left""",1,"""left""",0
35,24,"""false""",four,weak,four,four four,within,"""four_weak_four""",0,"""left""",0,"""left""",0,"""left""",0
35,25,"""true""",some,strong,some,some some,within,"""some_strong_some""",1,"""right""",0,"""left""",1,"""left""",0
35,26,"""false""",some,weak,six,six some,between,"""some_weak_six""",1,"""right""",0,"""left""",0,"""left""",0
35,27,"""false""",four,strong,some,four some,between,"""four_strong_some""",0,"""left""",0,"""left""",1,"""left""",0
35,28,"""false""",four,strong,four,four four,within,"""four_strong_four""",1,"""right""",1,"""right""",1,"""left""",0
35,29,"""true""",some,strong,some,some some,within,"""some_strong_some""",0,"""left""",1,"""right""",1,"""left""",0
35,30,"""false""",some,weak,six,six some,between,"""some_weak_six""",1,"""right""",1,"""right""",0,"""left""",0
35,31,"""false""",some,strong,six,six some,between,"""some_strong_six""",1,"""right""",1,"""right""",1,"""left""",0
35,32,"""false""",six,weak,four,four six,between,"""six_weak_four""",0,"""left""",0,"""left""",0,"""left""",0
35,33,"""false""",some,strong,some,some some,within,"""some_strong_some""",0,"""left""",0,"""left""",1,"""left""",0
35,34,"""false""",some,weak,four,four some,between,"""some_weak_four""",0,"""left""",0,"""left""",0,"""left""",0
35,35,"""false""",six,strong,six,six six,within,"""six_strong_six""",1,"""right""",1,"""right""",1,"""left""",0
35,36,"""true""",six,weak,six,six six,within,"""six_weak_six""",0,"""left""",0,"""left""",0,"""left""",0
